ticker,period_end,duration,metric,value,currency,line_item,source_column,source_line,form,filing_date,source_url
NKE,2022-05-31,annual,capital_expenditures,758000000.0,USD,"Additions to property, plant and equipment",2022,1714,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,cash_from_operations,5188000000.0,USD,Cash provided (used) by operations,2022,1709,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,cost_of_revenue,25231000000.0,USD,Cost of sales,2022,1603,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,dividends_paid,1837000000.0,USD,Dividends — common and preferred,2022,1722,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,gross_profit,21479000000.0,USD,Gross profit,2022,1604,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,income_tax_expense,605000000.0,USD,Income tax expense,2022,1611,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,interest_paid,290000000.0,USD,"Interest, net of capitalized interest",2022,1731,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,net_income,6046000000.0,USD,NET INCOME,2022,1612,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,pretax_income,6651000000.0,USD,Income before income taxes,2022,1610,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,revenue,46710000000.0,USD,Revenues,2022,1602,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,selling_general_admin,14804000000.0,USD,Total selling and administrative expense,2022,1607,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,stock_based_compensation,638000000.0,USD,Stock-based compensation,2022,1701,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,weighted_average_basic_shares,1578800000.0,shares,Basic,2022,1617,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,annual,weighted_average_diluted_shares,1610800000.0,shares,Diluted,2022,1618,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2022-05-31,instant,accounts_payable,3358000000.0,USD,Accounts payable,2022,1619,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,accounts_receivable,4667000000.0,USD,"Accounts receivable, net",2022,1605,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,cash_and_equivalents,8574000000.0,USD,Cash and equivalents,2022,1603,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,class_a_shares_outstanding,305000000.0,shares,Class A shares outstanding,2022,1631,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,class_b_shares_outstanding,1266000000.0,shares,Class B shares outstanding,2022,1632,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,current_assets,28213000000.0,USD,Total current assets,2022,1608,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,current_debt,500000000.0,USD,Current portion of long-term debt,2022,1617,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,current_lease_liabilities,420000000.0,USD,Current portion of operating lease liabilities,2022,1620,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,current_liabilities,10730000000.0,USD,Total current liabilities,2022,1623,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,inventory,8420000000.0,USD,Inventories,2022,1606,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,noncurrent_debt,8920000000.0,USD,Long-term debt,2022,1624,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,noncurrent_lease_liabilities,2777000000.0,USD,Operating lease liabilities,2022,1625,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,other_current_assets,2129000000.0,USD,Prepaid expenses and other current assets,2022,1607,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,other_current_liabilities,6220000000.0,USD,Accrued liabilities,2022,1621,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2022-05-31,instant,short_term_investments,4423000000.0,USD,Short-term investments,2022,1604,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2023-05-31,annual,capital_expenditures,969000000.0,USD,"Additions to property, plant and equipment",2023,1751,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,cash_from_operations,5841000000.0,USD,Cash provided (used) by operations,2023,1746,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,cost_of_revenue,28925000000.0,USD,Cost of sales,2023,1640,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,depreciation_amortization,703000000.0,USD,Depreciation and amortization,2023,1736,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,dividends_paid,2012000000.0,USD,Dividends — common and preferred,2023,1759,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,gross_profit,22292000000.0,USD,Gross profit,2023,1641,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,income_tax_expense,1131000000.0,USD,Income tax expense,2023,1648,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,interest_paid,347000000.0,USD,"Interest, net of capitalized interest",2023,1768,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,net_income,5070000000.0,USD,NET INCOME,2023,1649,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,pretax_income,6201000000.0,USD,Income before income taxes,2023,1647,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,revenue,51217000000.0,USD,Revenues,2023,1639,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,selling_general_admin,16377000000.0,USD,Total selling and administrative expense,2023,1644,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,stock_based_compensation,755000000.0,USD,Stock-based compensation,2023,1738,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,weighted_average_basic_shares,1551600000.0,shares,Basic,2023,1654,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,annual,weighted_average_diluted_shares,1569800000.0,shares,Diluted,2023,1655,10-K,2025-07-17,https://www.sec.gov/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm
NKE,2023-05-31,instant,accounts_payable,2862000000.0,USD,Accounts payable,2023,1666,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,accounts_receivable,4131000000.0,USD,"Accounts receivable, net",2023,1652,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,cash_and_equivalents,7441000000.0,USD,Cash and equivalents,2023,1650,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,class_a_shares_outstanding,305000000.0,shares,Class A shares outstanding,2023,1678,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,class_b_shares_outstanding,1227000000.0,shares,Class B shares outstanding,2023,1679,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,current_assets,25202000000.0,USD,Total current assets,2023,1655,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,current_lease_liabilities,425000000.0,USD,Current portion of operating lease liabilities,2023,1667,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,current_liabilities,9256000000.0,USD,Total current liabilities,2023,1670,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,inventory,8454000000.0,USD,Inventories,2023,1653,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,noncurrent_debt,8927000000.0,USD,Long-term debt,2023,1671,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
