date,time,source_url,heading,description,published_at,heading_key,publisher_domain,age_days,text,sentiment_score,publication_day
2026-08-18,07:00:00 UTC,https://247wallst.com/investing/2026/08/18/nike-keeps-tanking-one-pro-expects-85-returns-moving-forward/,Nike Keeps Tanking: One Pro Expects 85% Returns Moving Forward,"Nike has shed nearly half its value in a year while executives quietly sold millions in shares, yet one analyst team is holding a price target that would...",2026-08-18 07:00:00+00:00,nike keeps tanking one pro expects 85 returns moving forward,247wallst.com,28,"Nike Keeps Tanking: One Pro Expects 85% Returns Moving Forward. Nike has shed nearly half its value in a year while executives quietly sold millions in shares, yet one analyst team is holding a price target that would...",0.5574,2026-08-18
2026-08-18,07:00:00 UTC,https://www.indmoney.com/blog/us-stocks/nike-stock-analysis-is-nke-stock-a-buy,Nike Stock Analysis: Is NKE a Buy at a 12-Year Low?,"Our conclusion is uncomfortable but clear: Nike is a great brand sitting inside a weak earnings cycle, and NKE stock is not yet a compelling full-position buy...",2026-08-18 07:00:00+00:00,nike stock analysis is nke a buy at a 12 year low,indmoney.com,28,"Nike Stock Analysis: Is NKE a Buy at a 12-Year Low?. Our conclusion is uncomfortable but clear: Nike is a great brand sitting inside a weak earnings cycle, and NKE stock is not yet a compelling full-position buy...",0.4312,2026-08-18
2026-08-18,07:00:00 UTC,https://www.quiverquant.com/news/Why+Nike+(NKE)+Stock+Is+Up+Today,Why Nike (NKE) Stock Is Up Today,Nike (NKE) is up 3.2% today. Here is some analysis on what might have caused this price movement.Ana.,2026-08-18 07:00:00+00:00,why nike nke stock is up today,quiverquant.com,28,Why Nike (NKE) Stock Is Up Today. Nike (NKE) is up 3.2% today. Here is some analysis on what might have caused this price movement.Ana.,0.0,2026-08-18
2026-08-19,07:00:00 UTC,https://seekingalpha.com/news/4635073-nike-pulls-back-on-its-small-neighborhood-store-concept,Nike pulls back on its small neighborhood store concept (NKE:NYSE),"Nike pulls back on its small neighborhood store concept ... Nike (NKE) has closed as many as 14 of its neighborhood-based, small-format Nike Live stores,...",2026-08-19 07:00:00+00:00,nike pulls back on its small neighborhood store concept nke nyse,seekingalpha.com,27,"Nike pulls back on its small neighborhood store concept (NKE:NYSE). Nike pulls back on its small neighborhood store concept ... Nike (NKE) has closed as many as 14 of its neighborhood-based, small-format Nike Live stores,...",0.0,2026-08-19
2026-08-19,07:00:00 UTC,https://finance.yahoo.com/markets/stocks/articles/nike-nke-craters-lows-insiders-142600448.html,"As Nike (NKE) Craters to New Lows, Insiders Are Buying This Rival On The Dip","As Nike (NKE) Craters to New Lows, Insiders Are Buying This Rival On The Dip. The media could not be loaded, either because the server or network failed or...",2026-08-19 07:00:00+00:00,as nike nke craters to new lows insiders are buying this rival on the dip,finance.yahoo.com,27,"As Nike (NKE) Craters to New Lows, Insiders Are Buying This Rival On The Dip. As Nike (NKE) Craters to New Lows, Insiders Are Buying This Rival On The Dip. The media could not be loaded, either because the server or network failed or...",-0.7096,2026-08-19
2026-08-20,07:00:00 UTC,https://www.quiverquant.com/news/Nike+Stock+%28NKE%29+Opinions+on+Prolonged+Stock+Decline,Nike Stock (NKE) Opinions on Prolonged Stock Decline,"Multiple analysts have issued price targets for $NKE recently. We have seen 22 analysts offer price targets for $NKE in the last 6 months, with a median target...",2026-08-20 07:00:00+00:00,nike stock nke opinions on prolonged stock decline,quiverquant.com,26,"Nike Stock (NKE) Opinions on Prolonged Stock Decline. Multiple analysts have issued price targets for $NKE recently. We have seen 22 analysts offer price targets for $NKE in the last 6 months, with a median target...",0.0,2026-08-20
2026-08-25,07:00:00 UTC,https://finance.yahoo.com/markets/stocks/articles/nike-nke-stock-slides-market-214503082.html,Nike (NKE) Stock Slides as Market Rises: Facts to Know Before You Trade,"Nike (NKE) Stock Slides as Market Rises: Facts to Know Before You Trade ... Nike (NKE) ended the recent trading session at $39.48, demonstrating a -3.12% change...",2026-08-25 07:00:00+00:00,nike nke stock slides as market rises facts to know before you trade,finance.yahoo.com,21,"Nike (NKE) Stock Slides as Market Rises: Facts to Know Before You Trade. Nike (NKE) Stock Slides as Market Rises: Facts to Know Before You Trade ... Nike (NKE) ended the recent trading session at $39.48, demonstrating a -3.12% change...",0.0,2026-08-25
2026-08-27,07:00:00 UTC,https://finance.yahoo.com/markets/stocks/articles/nike-nke-stock-looks-undervalued-141656909.html,Nike (NKE) Stock Looks Undervalued On Earnings But Fairly Valued On Cash Flow,"Nike (NKE) Stock Looks Undervalued On Earnings But Fairly Valued On Cash Flow · Over the past 5 years, Nike shares have fallen about 74.6%, which shows how...",2026-08-27 07:00:00+00:00,nike nke stock looks undervalued on earnings but fairly valued on cash flow,finance.yahoo.com,19,"Nike (NKE) Stock Looks Undervalued On Earnings But Fairly Valued On Cash Flow. Nike (NKE) Stock Looks Undervalued On Earnings But Fairly Valued On Cash Flow · Over the past 5 years, Nike shares have fallen about 74.6%, which shows how...",0.8047,2026-08-27
2026-09-03,07:00:00 UTC,https://www.fool.com/investing/2026/09/03/whats-wrong-with-nike-stock/,What's Wrong With Nike Stock?,"Nike (NKE +0.07%) is the largest athletic apparel and footwear company in the world, by far. However, although it's still the leader, cracks are letting in...",2026-09-03 07:00:00+00:00,what s wrong with nike stock,fool.com,12,"What's Wrong With Nike Stock?. Nike (NKE +0.07%) is the largest athletic apparel and footwear company in the world, by far. However, although it's still the leader, cracks are letting in...",-0.4767,2026-09-03
2026-09-03,07:00:00 UTC,https://www.thestreet.com/investing/stocks/nke-nike-stock-undervalued-or-value-trap,"Down almost 80%, is Nike stock undervalued or a value trap?","Why Nike stock is under pressure. Nike's revenue has dropped from $51.2 billion in fiscal 2023 (ended in May) to $46.4 billion in fiscal 2026. Moreover, its...",2026-09-03 07:00:00+00:00,down almost 80 is nike stock undervalued or a value trap,thestreet.com,12,"Down almost 80%, is Nike stock undervalued or a value trap?. Why Nike stock is under pressure. Nike's revenue has dropped from $51.2 billion in fiscal 2023 (ended in May) to $46.4 billion in fiscal 2026. Moreover, its...",-0.2732,2026-09-03
2026-09-07,04:33:48 UTC,https://seekingalpha.com/news/4640534-nike-booted-from-sp-100-after-nearly-18-year-run,Nike booted from S&P 100 after nearly 18-year run (NKE:NYSE),Nike (NKE) exits the S&P 100 on Sept. 21 in the quarterly rebalance; learn why its market cap fell and what the tech-heavy reshuffle signals—read now.,2026-09-07 04:33:48+00:00,nike booted from s p 100 after nearly 18 year run nke nyse,seekingalpha.com,8,Nike booted from S&P 100 after nearly 18-year run (NKE:NYSE). Nike (NKE) exits the S&P 100 on Sept. 21 in the quarterly rebalance; learn why its market cap fell and what the tech-heavy reshuffle signals—read now.,0.0,2026-09-07
2026-09-08,09:33:47 UTC,https://simplywall.st/stocks/us/consumer-durables/nyse-nke/nike/news/nike-nke-leaves-the-sp-100-as-tech-takes-its-slot,Nike (NKE) Leaves The S&P 100 As Tech Takes Its Slot,Nike (NYSE:NKE) is set to be removed from the S&P 100 index after a multiyear market value decline. The vacated slot will be filled by multiple large...,2026-09-08 09:33:47+00:00,nike nke leaves the s p 100 as tech takes its slot,simplywall.st,7,Nike (NKE) Leaves The S&P 100 As Tech Takes Its Slot. Nike (NYSE:NKE) is set to be removed from the S&P 100 index after a multiyear market value decline. The vacated slot will be filled by multiple large...,0.34,2026-09-08
2026-09-08,09:36:15 UTC,https://www.moomoo.com/community/feed/nike-nke-us-117234740428806,$Nike (NKE.US)$,Nike (NKE.US)$,2026-09-08 09:36:15+00:00,nike nke us,moomoo.com,7,$Nike (NKE.US)$. Nike (NKE.US)$,0.0,2026-09-08
2026-09-09,07:00:00 UTC,https://finance.yahoo.com/markets/stocks/articles/nike-nke-dips-more-broader-215005950.html,Nike (NKE) Dips More Than Broader Market: What You Should Know,"Nike (NKE) reached $37.35 at the closing of the latest trading day, reflecting a -1.97% change compared to its last close.",2026-09-09 07:00:00+00:00,nike nke dips more than broader market what you should know,finance.yahoo.com,6,"Nike (NKE) Dips More Than Broader Market: What You Should Know. Nike (NKE) reached $37.35 at the closing of the latest trading day, reflecting a -1.97% change compared to its last close.",0.1027,2026-09-09
2026-09-11,18:58:00 UTC,https://247wallst.com/investing/2026/09/11/nike-is-now-down-40-this-year-is-nke-stock-dead-money-or-due-for-a-bounce/,Nike Is Now Down 40% This Year. Is NKE Stock Dead Money or Due for a Bounce?,"Nike stock has fallen 40% year to date to $37, raising the question of whether it's dead money or set for a category-driven bounce. On Holding is down 41%...",2026-09-11 18:58:00+00:00,nike is now down 40 this year is nke stock dead money or due for a bounce,247wallst.com,4,"Nike Is Now Down 40% This Year. Is NKE Stock Dead Money or Due for a Bounce?. Nike stock has fallen 40% year to date to $37, raising the question of whether it's dead money or set for a category-driven bounce. On Holding is down 41%...",-0.9022,2026-09-11
2026-09-12,00:24:27 UTC,https://simplywall.st/stocks/us/consumer-durables/nyse-nke/nike/news/nike-nke-launches-nke-stock-token-on-solana,Nike (NKE) Launches $NKE Stock Token On Solana,"Nike (NYSE:NKE) launched a $NKE stock token on the Solana blockchain through Sunrise, opening onchain access to its equity. The tokenized format allows...",2026-09-12 00:24:27+00:00,nike nke launches nke stock token on solana,simplywall.st,4,"Nike (NKE) Launches $NKE Stock Token On Solana. Nike (NYSE:NKE) launched a $NKE stock token on the Solana blockchain through Sunrise, opening onchain access to its equity. The tokenized format allows...",0.128,2026-09-11
